"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","percentage","100","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","counts","28","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","percentage","100","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","counts","19","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_8_Are_fresh_fruits_and_vegetables_in_the_shops_well_separated_from_raw_meat_poultry_fish_or_seafood","percentage","100","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","15","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","12.71","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","103","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","87.29","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","46","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","46.94","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","52","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","percentage","53.06","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_9__Are_fresh_food_items_and_old_food_items_displayed_separately","counts","2","Quality checks","C4121","RQ3 select yes","count and percentage"
