"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","61.11","Resell","SY070302","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","7","Resell","SY070302","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","38.89","Resell","SY070302","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","339","Resell","Overall","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","82.68","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","13","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","3.17","Resell","Overall","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","58","Resell","Overall","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","14.15","Resell","Overall","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","40","Resell","Overall","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","68.97","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","1","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","1.72","Resell","Overall","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","17","Resell","Overall","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","29.31","Resell","Overall","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","9","Resell","Overall","RQ5","count and percentage"
"at_full_price","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","52.94","Resell","Overall","RQ5","count and percentage"
"between_60_and_80","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","1","Resell","Overall","RQ5","count and percentage"
"between_60_and_80","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","5.88","Resell","Overall","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","2","Resell","Overall","RQ5","count and percentage"
"between_80_and_100","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","11.76","Resell","Overall","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","3","Resell","Overall","RQ5","count and percentage"
"less_than_20","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","17.65","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","counts","2","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_1_At_what_prices_do_you_buy_the_items_from_the_customers_who_offer_to_re_sell","percentage","11.76","Resell","Overall","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","15","Resell","Overall","RQ5","count and percentage"
"Dry_food","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","88.24","Resell","Overall","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","2","Resell","Overall","RQ5","count and percentage"
"NFIs","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","11.76","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","counts","2","Resell","Overall","RQ5","count and percentage"
"prefer_not_to_answer","Q10_3_if_yes_which_of_the_items_in_the_list_below_did_you_accept_to_buy_barter_from_your_customers","percentage","11.76","Resell","Overall","RQ5","count and percentage"
